##### 2 threads 1 core ####

ubuntu@client-measure-l85z:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.223 -a 10.156.15.221 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
1652987777.5 1.0 2.0 0.0 0.0
1652987778.5 2.2 18.3 19.8 2.1
1652987779.5 10.8 71.1 66.3 9.4
1652987780.5 8.3 60.7 58.9 6.0
1652987781.51 10.6 61.4 61.1 7.2
1652987782.51 6.2 64.9 63.9 4.8
1652987783.51 5.7 45.4 40.9 3.4
1652987784.51 1.0 0.0 1.0 1.0
1652987785.51 5.7 40.2 42.4 6.7
1652987786.51 14.0 71.9 73.1 7.1
1652987787.51 10.0 71.3 76.3 9.3
1652987788.52 13.1 69.8 71.7 5.9
1652987789.52 7.6 72.6 71.4 8.0
1652987790.52 4.3 26.5 27.6 2.2
1652987791.52 0.0 0.0 1.0 0.0
1652987792.52 3.7 62.6 56.8 2.4
1652987793.52 14.5 75.3 70.5 14.8
1652987794.52 10.0 76.8 71.0 7.3
1652987795.53 16.5 77.3 72.6 14.8
1652987796.53 13.1 75.8 71.3 8.5
1652987797.53 1.1 13.5 13.4 1.0
1652987798.53 0.0 0.0 1.0 0.0
1652987799.53 17.9 74.2 67.8 10.1
1652987800.53 9.9 73.4 69.5 5.8
1652987801.53 10.7 71.3 67.7 6.9
1652987802.54 11.0 69.9 66.7 9.0
1652987803.54 15.6 72.2 66.7 9.0
1652987804.54 0.0 1.0 0.0 1.0
1652987805.54 3.0 2.0 2.0 1.1
1652987806.54 1.0 0.0 0.0 0.0
1652987807.54 0.0 1.0 1.0 2.0
1652987808.54 1.0 1.0 0.0 0.0
1652987809.55 2.0 1.0 0.0 0.0
